Hour,DayOfWeek_encoded,ParkID_encoded,OccupancyRate_lag1
7,1,0,0.0
8,1,0,10.571923743500866
8,1,0,11.091854419410746
9,1,0,13.864818024263432
9,1,0,18.54419410745234
10,1,0,25.99653379549393
10,1,0,30.67590987868284
11,1,0,37.954939341421145
11,1,0,42.80762564991335
12,1,0,44.88734835355286
13,1,0,46.10051993067591
13,1,0,46.62045060658579
14,1,0,45.58058925476603
14,1,0,41.247833622183705
14,1,0,37.26169844020797
15,1,0,33.27556325823224
16,1,0,28.59618717504333
16,1,0,28.07625649913345
7,2,0,24.783362218370883
8,2,0,9.358752166377815
9,2,0,10.225303292894282
9,2,0,12.305025996533796
10,2,0,14.38474870017331
10,2,0,19.75736568457539
11,2,0,22.18370883882149
11,2,0,25.64991334488735
12,2,0,28.07625649913345
12,2,0,30.84922010398613
12,2,0,31.7157712305026
13,2,0,30.329289428076255
13,2,0,31.022530329289427
14,2,0,30.155979202772965
14,2,0,27.38301559792028
15,2,0,25.12998266897747
16,2,0,22.357019064124785
16,2,0,20.97053726169844
7,3,0,19.75736568457539
8,3,0,10.051993067590988
8,3,0,10.918544194107453
9,3,0,12.131715771230503
10,3,0,16.464471403812826
10,3,0,23.39688041594454
10,3,0,27.729636048526864
11,3,0,30.67590987868284
12,3,0,33.10225303292894
12,3,0,34.48873483535529
12,3,0,35.70190641247834
13,3,0,34.31542461005199
13,3,0,36.04852686308492
14,3,0,34.66204506065858
15,3,0,30.329289428076255
15,3,0,27.38301559792028
16,3,0,26.51646447140381
16,3,0,23.39688041594454
8,4,0,22.357019064124785
8,4,0,10.051993067590988
9,4,0,10.571923743500866
9,4,0,12.998266897746968
9,4,0,17.85095320623917
10,4,0,22.18370883882149
10,4,0,29.80935875216638
11,4,0,32.582322357019066
12,4,0,34.48873483535529
12,4,0,36.39514731369151
13,4,0,35.70190641247834
13,4,0,34.66204506065858
14,4,0,34.835355285961874
14,4,0,33.44887348353553
15,4,0,31.36915077989601
15,4,0,29.80935875216638
15,4,0,27.55632582322357
16,4,0,27.38301559792028
7,5,0,22.87694974003466
8,5,0,10.051993067590988
8,5,0,10.571923743500866
9,5,0,12.998266897746968
10,5,0,18.02426343154246
10,5,0,27.38301559792028
10,5,0,33.10225303292894
11,5,0,38.64818024263432
12,5,0,44.0207972270364
12,5,0,53.03292894280762
13,5,0,55.45927209705373
13,5,0,60.31195840554593
14,5,0,61.871750433275565
14,5,0,68.4575389948007
14,5,0,69.32409012131716
15,5,0,68.4575389948007
16,5,0,70.36395147313692
16,5,0,66.03119584055459
8,6,0,63.258232235701904
8,6,0,7.279029462738301
9,6,0,7.279029462738301
9,6,0,7.452339688041595
9,6,0,7.452339688041595
10,6,0,8.665511265164644
11,6,0,11.091854419410746
11,6,0,17.33102253032929
11,6,0,21.837088388214905
12,6,0,25.64991334488735
13,6,0,29.462738301559792
13,6,0,32.75563258232236
14,6,0,35.52859618717504
14,6,0,36.04852686308492
15,6,0,36.22183708838821
15,6,0,33.10225303292894
16,6,0,31.19584055459272
16,6,0,26.8630849220104
8,0,0,23.050259965337958
8,0,0,9.358752166377815
9,0,0,9.705372616984402
9,0,0,11.26516464471404
10,0,0,12.65164644714038
10,0,0,15.944540727902949
10,0,0,19.584055459272097
11,0,0,24.956672443674176
11,0,0,25.82322357019064
12,0,0,27.55632582322357
13,0,0,29.636048526863085
13,0,0,30.502599653379548
14,0,0,29.80935875216638
14,0,0,27.90294627383016
14,0,0,26.689774696707104
15,0,0,23.743500866551127
15,0,0,22.357019064124785
16,0,0,22.53032928942808
8,1,0,19.75736568457539
8,1,0,9.705372616984402
8,1,0,11.091854419410746
9,1,0,12.824956672443674
9,1,0,16.11785095320624
10,1,0,22.357019064124785
10,1,0,28.942807625649912
11,1,0,34.66204506065858
12,1,0,37.954939341421145
12,1,0,38.9948006932409
13,1,0,38.30155979202773
13,1,0,37.60831889081456
14,1,0,37.60831889081456
14,1,0,36.04852686308492
15,1,0,33.10225303292894
15,1,0,28.942807625649912
16,1,0,27.55632582322357
16,1,0,25.99653379549393
8,2,0,22.0103986135182
8,2,0,8.838821490467938
9,2,0,9.878682842287697
9,2,0,11.091854419410746
10,2,0,12.65164644714038
10,2,0,17.157712305025996
11,2,0,19.410745233968804
11,2,0,22.0103986135182
12,2,0,22.18370883882149
12,2,0,24.783362218370883
13,2,0,27.38301559792028
13,2,0,27.209705372616984
14,2,0,28.42287694974004
14,2,0,28.942807625649912
15,2,0,27.55632582322357
15,2,0,24.263431542461007
15,2,0,22.18370883882149
16,2,0,20.97053726169844
7,3,0,19.23743500866551
8,3,0,10.051993067590988
9,3,0,11.26516464471404
9,3,0,13.17157712305026
9,3,0,16.81109185441941
10,3,0,22.0103986135182
11,3,0,28.76949740034662
11,3,0,34.66204506065858
11,3,0,38.12824956672444
12,3,0,39.86135181975737
13,3,0,40.03466204506066
13,3,0,37.08838821490468
13,3,0,35.18197573656846
14,3,0,35.52859618717504
15,3,0,31.36915077989601
15,3,0,28.07625649913345
16,3,0,24.956672443674176
16,3,0,22.87694974003466
8,4,0,22.53032928942808
8,4,0,9.185441941074524
9,4,0,9.878682842287697
9,4,0,11.611785095320624
10,4,0,17.33102253032929
10,4,0,23.223570190641247
11,4,0,27.209705372616984
11,4,0,35.52859618717504
12,4,0,38.12824956672444
12,4,0,38.82149046793761
13,4,0,36.915077989601386
13,4,0,35.52859618717504
14,4,0,34.835355285961874
14,4,0,31.542461005199307
15,4,0,30.155979202772965
15,4,0,29.636048526863085
16,4,0,27.90294627383016
16,4,0,23.91681109185442
8,5,0,23.223570190641247
8,5,0,9.185441941074524
9,5,0,10.918544194107453
9,5,0,13.344887348353552
10,5,0,17.504332755632582
10,5,0,26.689774696707104
11,5,0,29.636048526863085
11,5,0,36.5684575389948
12,5,0,41.421143847487
12,5,0,47.83362218370884
13,5,0,51.47313691507799
13,5,0,57.53899480069324
14,5,0,61.005199306759096
14,5,0,67.76429809358753
15,5,0,70.8838821490468
15,5,0,76.60311958405546
16,5,0,74.17677642980937
16,5,0,71.40381282495667
8,6,0,68.1109185441941
8,6,0,8.31889081455806
9,6,0,8.31889081455806
9,6,0,9.532062391681109
10,6,0,9.878682842287697
10,6,0,9.878682842287697
11,6,0,9.705372616984402
11,6,0,9.705372616984402
12,6,0,9.705372616984402
12,6,0,11.26516464471404
13,6,0,18.197573656845755
13,6,0,22.703639514731368
14,6,0,25.30329289428076
14,6,0,29.462738301559792
15,6,0,31.19584055459272
15,6,0,33.27556325823224
15,6,0,32.06239168110918
16,6,0,29.98266897746967
8,0,0,26.689774696707104
8,0,0,8.665511265164644
9,0,0,9.358752166377815
9,0,0,11.43847487001733
10,0,0,13.17157712305026
10,0,0,19.410745233968804
11,0,0,20.623916811091853
11,0,0,24.956672443674176
12,0,0,26.51646447140381
12,0,0,27.55632582322357
12,0,0,26.689774696707104
13,0,0,26.689774696707104
14,0,0,27.209705372616984
14,0,0,27.90294627383016
14,0,0,25.476603119584052
15,0,0,23.050259965337958
15,0,0,20.97053726169844
16,0,0,19.930675909878683
8,1,0,19.064124783362217
8,1,0,9.878682842287697
9,1,0,10.398613518197571
9,1,0,12.478336221837088
10,1,0,15.771230502599654
10,1,0,25.12998266897747
11,1,0,30.84922010398613
11,1,0,38.12824956672444
12,1,0,39.51473136915078
12,1,0,40.03466204506066
13,1,0,38.82149046793761
13,1,0,41.074523396880416
13,1,0,39.34142114384749
14,1,0,39.168110918544194
15,1,0,34.66204506065858
15,1,0,28.59618717504333
15,1,0,27.209705372616984
16,1,0,25.82322357019064
8,2,0,21.49046793760832
8,2,0,8.492201039861351
8,2,0,8.838821490467938
9,2,0,10.225303292894282
9,2,0,13.17157712305026
10,2,0,18.197573656845755
10,2,0,23.39688041594454
11,2,0,27.03639514731369
11,2,0,30.67590987868284
12,2,0,31.36915077989601
12,2,0,29.636048526863085
13,2,0,28.59618717504333
13,2,0,28.942807625649912
14,2,0,27.90294627383016
14,2,0,27.03639514731369
15,2,0,24.956672443674176
15,2,0,22.0103986135182
16,2,0,20.27729636048527
7,5,0,19.064124783362217
8,5,0,9.878682842287697
8,5,0,10.225303292894282
9,5,0,12.478336221837088
9,5,0,16.11785095320624
10,5,0,22.53032928942808
10,5,0,27.03639514731369
11,5,0,34.31542461005199
11,5,0,41.421143847487
12,5,0,45.233968804159446
12,5,0,56.1525129982669
13,5,0,62.21837088388215
13,5,0,65.8578856152513
14,5,0,70.7105719237435
14,5,0,74.52339688041594
15,5,0,73.48353552859619
15,5,0,69.84402079722703
16,5,0,66.55112651646448
7,6,0,58.925476603119584
8,6,0,8.145580589254767
8,6,0,8.31889081455806
9,6,0,8.838821490467938
9,6,0,8.665511265164644
10,6,0,9.358752166377815
10,6,0,10.398613518197571
11,6,0,13.864818024263432
11,6,0,18.54419410745234
12,6,0,21.66377816291161
13,6,0,24.956672443674176
13,6,0,30.329289428076255
13,6,0,33.27556325823224
14,6,0,37.26169844020797
14,6,0,39.168110918544194
15,6,0,37.954939341421145
15,6,0,37.26169844020797
16,6,0,31.022530329289427
7,0,0,25.99653379549393
8,0,0,8.145580589254767
9,0,0,9.532062391681109
9,0,0,10.74523396880416
9,0,0,12.65164644714038
10,0,0,15.077989601386482
11,0,0,19.75736568457539
11,0,0,23.743500866551127
12,0,0,26.8630849220104
12,0,0,29.98266897746967
12,0,0,33.10225303292894
13,0,0,34.31542461005199
13,0,0,36.04852686308492
14,0,0,37.954939341421145
14,0,0,37.26169844020797
15,0,0,36.22183708838821
16,0,0,36.22183708838821
16,0,0,33.27556325823224
8,1,0,30.329289428076255
8,1,0,9.358752166377815
9,1,0,9.532062391681109
9,1,0,14.211438474870018
9,1,0,16.464471403812826
10,1,0,22.357019064124785
10,1,0,29.98266897746967
11,1,0,35.008665511265164
12,1,0,43.15424610051993
12,1,0,50.25996533795494
13,1,0,52.51299826689775
13,1,0,57.36568457538995
13,1,0,59.79202772963605
14,1,0,62.91161178509532
15,1,0,63.258232235701904
15,1,0,58.925476603119584
15,1,0,52.33968804159446
16,1,0,47.31369150779896
7,2,0,39.168110918544194
8,2,0,9.705372616984402
8,2,0,10.918544194107453
9,2,0,12.131715771230503
9,2,0,15.077989601386482
10,2,0,18.71750433275563
10,2,0,21.66377816291161
11,2,0,27.55632582322357
11,2,0,31.542461005199307
12,2,0,34.31542461005199
12,2,0,35.52859618717504
13,2,0,40.03466204506066
13,2,0,42.287694974003465
14,2,0,45.06065857885616
14,2,0,46.273830155979205
15,2,0,43.67417677642981
15,2,0,41.247833622183705
16,2,0,36.741767764298096
7,3,0,31.19584055459272
8,3,0,9.358752166377815
8,3,0,10.398613518197571
9,3,0,11.95840554592721
9,3,0,15.59792027729636
10,3,0,17.677642980935875
10,3,0,20.27729636048527
11,3,0,27.729636048526864
11,3,0,32.75563258232236
12,3,0,35.87521663778163
12,3,0,38.47487001733102
13,3,0,42.80762564991335
13,3,0,46.96707105719238
14,3,0,48.35355285961872
14,3,0,48.52686308492201
15,3,0,46.10051993067591
15,3,0,45.58058925476603
16,3,0,41.76776429809359
8,4,0,38.9948006932409
8,4,0,9.878682842287697
9,4,0,11.95840554592721
10,4,0,17.157712305025996
10,4,0,23.39688041594454
10,4,0,29.636048526863085
11,4,0,33.968804159445405
12,4,0,39.86135181975737
12,4,0,45.407279029462735
13,4,0,46.62045060658579
13,4,0,46.10051993067591
14,4,0,47.66031195840554
14,4,0,51.2998266897747
15,4,0,50.25996533795494
15,4,0,48.8734835355286
16,4,0,46.62045060658579
16,4,0,44.36741767764298
7,5,0,38.12824956672444
8,5,0,8.838821490467938
8,5,0,9.705372616984402
9,5,0,11.43847487001733
9,5,0,15.771230502599654
10,5,0,21.49046793760832
10,5,0,28.42287694974004
11,5,0,36.915077989601386
12,5,0,46.273830155979205
12,5,0,54.41941074523397
12,5,0,58.752166377816295
13,5,0,58.578856152513
13,5,0,63.77816291161179
14,5,0,63.4315424610052
14,5,0,64.81802426343154
15,5,0,71.75043327556325
15,5,0,72.27036395147314
16,5,0,72.27036395147314
7,6,0,63.95147313691508
8,6,0,7.452339688041595
8,6,0,7.625649913344887
9,6,0,7.79896013864818
9,6,0,7.625649913344887
10,6,0,8.145580589254767
10,6,0,10.571923743500866
11,6,0,14.558058925476605
11,6,0,18.54419410745234
12,6,0,21.14384748700173
13,6,0,24.61005199306759
13,6,0,29.2894280762565
13,6,0,30.67590987868284
14,6,0,31.542461005199307
15,6,0,31.7157712305026
15,6,0,27.209705372616984
8,0,0,25.476603119584052
8,0,0,8.492201039861351
9,0,0,10.051993067590988
9,0,0,11.611785095320624
10,0,0,15.944540727902949
10,0,0,19.23743500866551
11,0,0,22.357019064124785
11,0,0,28.76949740034662
12,0,0,30.84922010398613
12,0,0,34.31542461005199
13,0,0,34.48873483535529
13,0,0,34.31542461005199
13,0,0,34.835355285961874
14,0,0,32.75563258232236
15,0,0,32.06239168110918
15,0,0,27.729636048526864
16,0,0,24.4367417677643
16,0,0,22.53032928942808
8,1,0,20.97053726169844
8,1,0,8.665511265164644
9,1,0,9.358752166377815
